2020-09-24 11:16:26 - WARNING - 33440 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 11:16:31 - WARNING - 33440 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 11:16:36 - WARNING - 33440 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 11:16:49 - INFO - 16444 - [modbus_connector.py] - modbus_connector - 67 - Starting Modbus connector name:AlarmLed
2020-09-24 11:16:54 - WARNING - 14912 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 11:16:59 - WARNING - 14912 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 11:17:04 - WARNING - 14912 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 11:17:09 - WARNING - 14912 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 11:17:14 - WARNING - 14912 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 11:17:19 - WARNING - 14912 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 11:17:24 - WARNING - 14912 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 11:17:29 - WARNING - 14912 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 11:17:34 - WARNING - 14912 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 11:17:39 - WARNING - 14912 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 11:17:44 - WARNING - 14912 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 11:17:49 - WARNING - 14912 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 11:17:54 - WARNING - 14912 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 11:17:59 - WARNING - 14912 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 11:18:04 - WARNING - 14912 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 11:18:09 - WARNING - 14912 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 11:18:14 - WARNING - 14912 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 11:18:19 - WARNING - 14912 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 11:18:29 - INFO - 27356 - [modbus_connector.py] - modbus_connector - 67 - Starting Modbus connector name:AlarmLed
2020-09-24 11:18:34 - WARNING - 34888 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to /dev/ttyTHS2
2020-09-24 11:18:39 - WARNING - 34888 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to /dev/ttyTHS2
